registered,instant,cnt,windspeed,yr,weathersit,casual,dteday,atemp,mnth,hum,temp,weekday,workingday,season,holiday
26,181,30,0.2537,0,1,4,2011-01-08,0.1212,1,0.36,0.14,6,0,1,0
28,182,28,0.2537,0,1,0,2011-01-08,0.1212,1,0.36,0.12,6,0,1,0
35,183,37,0.3582,0,1,2,2011-01-08,0.1061,1,0.39,0.12,6,0,1,0
33,184,34,0.3881,0,1,1,2011-01-08,0.1061,1,0.36,0.12,6,0,1,0
22,185,22,0.4478,0,1,0,2011-01-08,0.0606,1,0.39,0.1,6,0,1,0
24,186,25,0.3881,0,1,1,2011-01-09,0.0758,1,0.42,0.1,0,0,1,0
12,187,12,0.4627,0,1,0,2011-01-09,0.0606,1,0.42,0.1,0,0,1,0
11,188,11,0.4627,0,1,0,2011-01-09,0.0606,1,0.46,0.1,0,0,1,0
4,189,4,0.4179,0,1,0,2011-01-09,0.0758,1,0.46,0.1,0,0,1,0
1,190,1,0.194,0,1,0,2011-01-09,0.0909,1,0.53,0.08,0,0,1,0
1,191,1,0.194,0,1,0,2011-01-09,0.0909,1,0.53,0.08,0,0,1,0
1,192,1,0.2836,0,1,0,2011-01-09,0.0909,1,0.49,0.1,0,0,1,0
5,193,6,0.194,0,1,1,2011-01-09,0.0909,1,0.53,0.08,0,0,1,0
10,194,10,0.2836,0,1,0,2011-01-09,0.0909,1,0.49,0.1,0,0,1,0
19,195,19,0.5224,0,1,0,2011-01-09,0.0758,1,0.46,0.12,0,0,1,0
49,196,49,0.3881,0,1,0,2011-01-09,0.1061,1,0.43,0.14,0,0,1,0
47,197,49,0.5224,0,1,2,2011-01-09,0.1212,1,0.4,0.16,0,0,1,0
79,198,83,0.4478,0,1,4,2011-01-09,0.1364,1,0.37,0.18,0,0,1,0
69,199,75,0.4478,0,1,6,2011-01-09,0.1667,1,0.34,0.2,0,0,1,0
64,200,72,0.4627,0,1,8,2011-01-09,0.1818,1,0.32,0.22,0,0,1,0
77,201,82,0.3582,0,1,5,2011-01-09,0.197,1,0.35,0.22,0,0,1,0
79,202,92,0.4478,0,1,13,2011-01-09,0.1667,1,0.34,0.2,0,0,1,0
59,203,62,0.3881,0,1,3,2011-01-09,0.1515,1,0.37,0.18,0,0,1,0
44,204,48,0.3284,0,1,4,2011-01-09,0.1364,1,0.4,0.16,0,0,1,0
40,205,41,0.3284,0,1,1,2011-01-09,0.1364,1,0.43,0.16,0,0,1,0
38,206,38,0.2537,0,1,0,2011-01-09,0.1212,1,0.46,0.14,0,0,1,0
19,207,20,0.4179,0,1,1,2011-01-09,0.1061,1,0.46,0.14,0,0,1,0
10,208,15,0.2985,0,1,5,2011-01-09,0.1212,1,0.46,0.14,0,0,1,0
6,209,6,0.194,0,1,0,2011-01-09,0.1364,1,0.5,0.12,0,0,1,0
3,210,5,0.2836,0,1,2,2011-01-10,0.1212,1,0.5,0.12,1,1,1,0
0,211,1,0.2836,0,1,1,2011-01-10,0.1212,1,0.5,0.12,1,1,1,0
3,212,3,0.2239,0,1,0,2011-01-10,0.1212,1,0.5,0.12,1,1,1,0
1,213,1,0.2239,0,1,0,2011-01-10,0.1212,1,0.5,0.12,1,1,1,0
2,214,3,0.1343,0,1,1,2011-01-10,0.1212,1,0.54,0.1,1,1,1,0
3,215,3,0.2537,0,1,0,2011-01-10,0.1061,1,0.54,0.1,1,1,1,0
31,216,31,0.2836,0,1,0,2011-01-10,0.1212,1,0.5,0.12,1,1,1,0
75,217,77,0.2239,0,1,2,2011-01-10,0.1212,1,0.5,0.12,1,1,1,0
184,218,188,0.2836,0,2,4,2011-01-10,0.1212,1,0.5,0.12,1,1,1,0
92,219,94,0.2537,0,2,2,2011-01-10,0.1212,1,0.5,0.14,1,1,1,0
31,220,31,0.2985,0,2,0,2011-01-10,0.1212,1,0.5,0.14,1,1,1,0
28,221,30,0.2836,0,2,2,2011-01-10,0.1364,1,0.47,0.16,1,1,1,0
47,222,52,0.2836,0,2,5,2011-01-10,0.1818,1,0.4,0.2,1,1,1,0
50,223,54,0.2836,0,2,4,2011-01-10,0.1818,1,0.4,0.2,1,1,1,0
47,224,47,0.2239,0,2,0,2011-01-10,0.197,1,0.4,0.2,1,1,1,0
43,225,45,0.2239,0,2,2,2011-01-10,0.197,1,0.4,0.2,1,1,1,0
70,226,74,0.1343,0,1,4,2011-01-10,0.2121,1,0.4,0.2,1,1,1,0
174,227,178,0.1045,0,1,4,2011-01-10,0.2273,1,0.4,0.2,1,1,1,0
154,228,155,0.2239,0,1,1,2011-01-10,0.197,1,0.4,0.2,1,1,1,0
92,229,95,0.1642,0,1,3,2011-01-10,0.1667,1,0.47,0.16,1,1,1,0
73,230,74,0.1642,0,1,1,2011-01-10,0.1667,1,0.5,0.16,1,1,1,0
37,231,38,0.194,0,1,1,2011-01-10,0.1364,1,0.59,0.14,1,1,1,0
22,232,24,0.1642,0,1,2,2011-01-10,0.1515,1,0.59,0.14,1,1,1,0
18,233,18,0.1642,0,1,0,2011-01-10,0.1515,1,0.59,0.14,1,1,1,0
10,234,12,0.1045,0,1,2,2011-01-11,0.1667,1,0.59,0.14,2,1,1,0
3,235,3,0.1642,0,1,0,2011-01-11,0.1515,1,0.59,0.14,2,1,1,0
3,236,3,0.194,0,2,0,2011-01-11,0.1515,1,0.55,0.16,2,1,1,0
6,237,6,0.1343,0,2,0,2011-01-11,0.1818,1,0.55,0.16,2,1,1,0
27,238,27,0.1343,0,2,0,2011-01-11,0.1818,1,0.55,0.16,2,1,1,0
97,239,99,0.0,0,2,2,2011-01-11,0.2273,1,0.55,0.16,2,1,1,0
214,240,217,0.0896,0,2,3,2011-01-11,0.2121,1,0.51,0.18,2,1,1,0
127,241,130,0.1642,0,2,3,2011-01-11,0.197,1,0.51,0.18,2,1,1,0
51,242,54,0.1642,0,2,3,2011-01-11,0.2121,1,0.51,0.2,2,1,1,0
31,243,35,0.1343,0,2,4,2011-01-11,0.2121,1,0.47,0.2,2,1,1,0
55,244,57,0.1045,0,2,2,2011-01-11,0.2273,1,0.51,0.2,2,1,1,0
46,245,52,0.0896,0,2,6,2011-01-11,0.2273,1,0.59,0.2,2,1,1,0
60,246,63,0.0896,0,2,3,2011-01-11,0.2273,1,0.59,0.2,2,1,1,0
45,247,47,0.0896,0,2,2,2011-01-11,0.197,1,0.8,0.16,2,1,1,0
72,248,76,0.2239,0,2,4,2011-01-11,0.1515,1,0.86,0.16,2,1,1,0
130,249,136,0.2239,0,2,6,2011-01-11,0.1515,1,0.86,0.16,2,1,1,0
94,250,95,0.1045,0,3,1,2011-01-11,0.1818,1,0.93,0.16,2,1,1,0
51,251,51,0.0,0,3,0,2011-01-11,0.2273,1,0.93,0.16,2,1,1,0
32,252,32,0.194,0,3,0,2011-01-11,0.1515,1,0.93,0.16,2,1,1,0
20,253,20,0.0896,0,3,0,2011-01-11,0.197,1,0.86,0.16,2,1,1,0
28,254,29,0.1045,0,3,1,2011-01-11,0.1818,1,0.93,0.16,2,1,1,0
18,255,19,0.0896,0,3,1,2011-01-11,0.197,1,0.93,0.16,2,1,1,0
7,256,7,0.0896,0,2,0,2011-01-12,0.197,1,0.86,0.16,3,1,1,0
6,257,6,0.1045,0,2,0,2011-01-12,0.1818,1,0.86,0.16,3,1,1,0
1,258,1,0.1343,0,1,0,2011-01-12,0.1515,1,0.86,0.14,3,1,1,0
5,259,5,0.1642,0,1,0,2011-01-12,0.1515,1,0.86,0.14,3,1,1,0
16,260,16,0.1343,0,1,0,2011-01-12,0.1515,1,0.93,0.12,3,1,1,0
54,261,54,0.1343,0,1,0,2011-01-12,0.1515,1,0.69,0.14,3,1,1,0
125,262,128,0.1642,0,1,3,2011-01-12,0.1667,1,0.59,0.16,3,1,1,0
78,263,81,0.3284,0,1,3,2011-01-12,0.1364,1,0.59,0.16,3,1,1,0
39,264,39,0.2239,0,1,0,2011-01-12,0.1818,1,0.55,0.18,3,1,1,0
32,265,35,0.3881,0,1,3,2011-01-12,0.1818,1,0.51,0.2,3,1,1,0
52,266,55,0.5821,0,1,3,2011-01-12,0.1515,1,0.47,0.2,3,1,1,0
49,267,49,0.3582,0,1,0,2011-01-12,0.197,1,0.44,0.22,3,1,1,0
44,268,44,0.3284,0,1,0,2011-01-12,0.1818,1,0.47,0.2,3,1,1,0
48,269,49,0.4179,0,1,1,2011-01-12,0.1667,1,0.47,0.2,3,1,1,0
63,270,68,0.3284,0,1,5,2011-01-12,0.197,1,0.44,0.22,3,1,1,0
139,271,139,0.3582,0,1,0,2011-01-12,0.1818,1,0.47,0.2,3,1,1,0
135,272,137,0.5224,0,1,2,2011-01-12,0.1515,1,0.47,0.2,3,1,1,0
82,273,83,0.4179,0,1,1,2011-01-12,0.1515,1,0.47,0.18,3,1,1,0
54,274,56,0.3284,0,1,2,2011-01-12,0.1364,1,0.5,0.16,3,1,1,0
57,275,57,0.3284,0,1,0,2011-01-12,0.1364,1,0.55,0.16,3,1,1,0
32,276,33,0.4478,0,1,1,2011-01-12,0.1212,1,0.55,0.16,3,1,1,0
19,277,20,0.4179,0,1,1,2011-01-12,0.1061,1,0.59,0.14,3,1,1,0
6,278,7,0.2836,0,1,1,2011-01-13,0.1212,1,0.59,0.14,4,1,1,0
2,279,2,0.2836,0,1,0,2011-01-13,0.1212,1,0.5,0.14,4,1,1,0
2,280,2,0.3582,0,1,0,2011-01-13,0.1212,1,0.5,0.14,4,1,1,0
3,281,3,0.3284,0,1,0,2011-01-13,0.1212,1,0.5,0.14,4,1,1,0
4,282,4,0.2537,0,1,0,2011-01-13,0.1212,1,0.5,0.14,4,1,1,0
3,283,3,0.2985,0,1,0,2011-01-13,0.1212,1,0.5,0.14,4,1,1,0
28,284,28,0.1343,0,1,0,2011-01-13,0.1515,1,0.54,0.12,4,1,1,0
72,285,72,0.1343,0,1,0,2011-01-13,0.1515,1,0.54,0.12,4,1,1,0
197,286,202,0.194,0,1,5,2011-01-13,0.1364,1,0.5,0.14,4,1,1,0
137,287,139,0.3284,0,1,2,2011-01-13,0.1212,1,0.5,0.14,4,1,1,0
36,288,38,0.3582,0,2,2,2011-01-13,0.1364,1,0.5,0.16,4,1,1,0
33,289,37,0.4478,0,2,4,2011-01-13,0.1667,1,0.44,0.2,4,1,1,0
49,290,52,0.4179,0,1,3,2011-01-13,0.1667,1,0.44,0.2,4,1,1,0
81,291,83,0.4478,0,1,2,2011-01-13,0.197,1,0.41,0.22,4,1,1,0
39,292,42,0.3881,0,1,3,2011-01-13,0.197,1,0.41,0.22,4,1,1,0
55,293,60,0.2985,0,1,5,2011-01-13,0.2121,1,0.38,0.24,4,1,1,0
76,294,78,0.3582,0,1,2,2011-01-13,0.2121,1,0.38,0.24,4,1,1,0
158,295,162,0.2836,0,1,4,2011-01-13,0.1818,1,0.4,0.2,4,1,1,0
141,296,144,0.3284,0,1,3,2011-01-13,0.1818,1,0.4,0.2,4,1,1,0
98,297,99,0.2537,0,1,1,2011-01-13,0.1515,1,0.47,0.16,4,1,1,0
64,298,64,0.2239,0,1,0,2011-01-13,0.1515,1,0.47,0.16,4,1,1,0
40,299,40,0.2985,0,1,0,2011-01-13,0.1212,1,0.46,0.14,4,1,1,0
30,300,30,0.3284,0,1,0,2011-01-13,0.1212,1,0.46,0.14,4,1,1,0
14,301,15,0.194,0,1,1,2011-01-13,0.1364,1,0.5,0.12,4,1,1,0
14,302,14,0.194,0,1,0,2011-01-14,0.1364,1,0.5,0.12,5,1,1,0
5,303,5,0.1642,0,1,0,2011-01-14,0.1212,1,0.54,0.1,5,1,1,0
1,304,1,0.1343,0,1,0,2011-01-14,0.1212,1,0.54,0.1,5,1,1,0
1,305,1,0.1045,0,1,0,2011-01-14,0.1364,1,0.54,0.1,5,1,1,0
8,306,8,0.0896,0,1,0,2011-01-14,0.1364,1,0.54,0.1,5,1,1,0
17,307,17,0.0,0,1,0,2011-01-14,0.1818,1,0.54,0.1,5,1,1,0
70,308,70,0.1642,0,1,0,2011-01-14,0.1212,1,0.74,0.1,5,1,1,0
156,309,158,0.0,0,1,2,2011-01-14,0.1667,1,0.68,0.12,5,1,1,0
117,310,117,0.1343,0,1,0,2011-01-14,0.1515,1,0.69,0.14,5,1,1,0
40,311,44,0.194,0,1,4,2011-01-14,0.1818,1,0.55,0.18,5,1,1,0
47,312,53,0.2836,0,1,6,2011-01-14,0.1667,1,0.51,0.18,5,1,1,0
59,313,61,0.2537,0,1,2,2011-01-14,0.197,1,0.44,0.2,5,1,1,0
73,314,77,0.3881,0,1,4,2011-01-14,0.197,1,0.37,0.22,5,1,1,0
59,315,64,0.2836,0,1,5,2011-01-14,0.2121,1,0.41,0.22,5,1,1,0
59,316,68,0.1642,0,1,9,2011-01-14,0.2424,1,0.38,0.24,5,1,1,0
87,317,90,0.1045,0,1,3,2011-01-14,0.2424,1,0.41,0.22,5,1,1,0
155,318,159,0.1642,0,1,4,2011-01-14,0.2273,1,0.41,0.22,5,1,1,0
134,319,139,0.0,0,1,5,2011-01-14,0.2576,1,0.47,0.2,5,1,1,0
89,320,92,0.0896,0,1,3,2011-01-14,0.197,1,0.59,0.16,5,1,1,0
68,321,68,0.0,0,1,0,2011-01-14,0.2424,1,0.59,0.18,5,1,1,0
48,322,52,0.0,0,1,4,2011-01-14,0.2273,1,0.69,0.16,5,1,1,0
34,323,36,0.0,0,2,2,2011-01-14,0.2273,1,0.69,0.16,5,1,1,0
26,324,27,0.0,0,2,1,2011-01-14,0.2424,1,0.55,0.18,5,1,1,0
25,325,28,0.0,0,1,3,2011-01-15,0.2424,1,0.55,0.18,6,0,1,0
18,326,20,0.0896,0,2,2,2011-01-15,0.197,1,0.59,0.16,6,0,1,0
12,327,12,0.0896,0,2,0,2011-01-15,0.197,1,0.59,0.16,6,0,1,0
7,328,8,0.0,0,2,1,2011-01-15,0.2273,1,0.59,0.16,6,0,1,0
5,329,5,0.0,0,2,0,2011-01-15,0.2273,1,0.59,0.16,6,0,1,0
1,330,1,0.0,0,1,0,2011-01-15,0.2273,1,0.59,0.16,6,0,1,0
2,331,3,0.1045,0,1,1,2011-01-15,0.1667,1,0.63,0.14,6,0,1,0
9,332,10,0.0,0,1,1,2011-01-15,0.2121,1,0.63,0.14,6,0,1,0
22,333,23,0.1343,0,1,1,2011-01-15,0.1515,1,0.63,0.14,6,0,1,0
31,334,33,0.1343,0,1,2,2011-01-15,0.1818,1,0.64,0.16,6,0,1,0
57,335,59,0.1642,0,1,2,2011-01-15,0.197,1,0.59,0.18,6,0,1,0
54,336,72,0.2239,0,1,18,2011-01-15,0.197,1,0.55,0.2,6,0,1,0
74,337,89,0.2239,0,1,15,2011-01-15,0.2273,1,0.48,0.24,6,0,1,0
80,338,101,0.2985,0,1,21,2011-01-15,0.2576,1,0.38,0.28,6,0,1,0
92,339,118,0.2836,0,1,26,2011-01-15,0.2879,1,0.39,0.3,6,0,1,0
108,340,129,0.194,0,2,21,2011-01-15,0.3182,1,0.36,0.32,6,0,1,0
95,341,128,0.194,0,2,33,2011-01-15,0.3333,1,0.34,0.34,6,0,1,0
54,342,83,0.2836,0,2,29,2011-01-15,0.303,1,0.36,0.32,6,0,1,0
69,343,84,0.2537,0,2,15,2011-01-15,0.2879,1,0.45,0.3,6,0,1,0
60,344,74,0.2537,0,2,14,2011-01-15,0.303,1,0.39,0.32,6,0,1,0
35,345,41,0.2537,0,2,6,2011-01-15,0.303,1,0.39,0.32,6,0,1,0
51,346,57,0.2239,0,2,6,2011-01-15,0.303,1,0.39,0.32,6,0,1,0
26,347,26,0.1045,0,2,0,2011-01-15,0.3182,1,0.42,0.3,6,0,1,0
39,348,44,0.2836,0,1,5,2011-01-15,0.2879,1,0.45,0.3,6,0,1,0
33,349,39,0.0,0,1,6,2011-01-16,0.303,1,0.56,0.26,0,0,1,0
19,350,23,0.1343,0,1,4,2011-01-16,0.2727,1,0.56,0.26,0,0,1,0
13,351,16,0.0896,0,1,3,2011-01-16,0.2879,1,0.56,0.26,0,0,1,0
6,352,15,0.0,0,1,9,2011-01-16,0.2727,1,0.69,0.22,0,0,1,0
1,353,1,0.1642,0,1,0,2011-01-16,0.2576,1,0.56,0.26,0,0,1,0
1,354,2,0.1642,0,2,1,2011-01-16,0.2576,1,0.56,0.26,0,0,1,0
1,355,1,0.1642,0,2,0,2011-01-16,0.2576,1,0.56,0.26,0,0,1,0
3,356,3,0.2985,0,2,0,2011-01-16,0.2121,1,0.56,0.24,0,0,1,0
18,357,18,0.2836,0,1,0,2011-01-16,0.2121,1,0.55,0.22,0,0,1,0
29,358,32,0.2537,0,1,3,2011-01-16,0.2121,1,0.51,0.22,0,0,1,0
71,359,79,0.2836,0,1,8,2011-01-16,0.2121,1,0.51,0.22,0,0,1,0
70,360,93,0.2537,0,1,23,2011-01-16,0.2273,1,0.44,0.24,0,0,1,0
75,361,104,0.2836,0,1,29,2011-01-16,0.2121,1,0.41,0.24,0,0,1,0
95,362,118,0.2985,0,1,23,2011-01-16,0.2273,1,0.35,0.26,0,0,1,0
69,363,91,0.2537,0,1,22,2011-01-16,0.2727,1,0.36,0.28,0,0,1,0
78,364,113,0.2537,0,1,35,2011-01-16,0.2424,1,0.38,0.26,0,0,1,0
77,365,99,0.2239,0,1,22,2011-01-16,0.2273,1,0.38,0.24,0,0,1,0
82,366,105,0.2537,0,1,23,2011-01-16,0.2121,1,0.37,0.22,0,0,1,0
56,367,67,0.1642,0,1,11,2011-01-16,0.2121,1,0.4,0.2,0,0,1,0
47,368,61,0.1343,0,1,14,2011-01-16,0.197,1,0.47,0.18,0,0,1,0
50,369,57,0.1642,0,1,7,2011-01-16,0.197,1,0.47,0.18,0,0,1,0
22,370,28,0.1642,0,1,6,2011-01-16,0.197,1,0.51,0.18,0,0,1,0
19,371,21,0.1343,0,2,2,2011-01-16,0.2121,1,0.49,0.2,0,0,1,0
18,372,18,0.1045,0,2,0,2011-01-16,0.2273,1,0.4,0.2,0,0,1,0
16,373,17,0.2239,0,2,1,2011-01-17,0.197,1,0.47,0.2,1,0,1,1
15,374,16,0.194,0,2,1,2011-01-17,0.197,1,0.44,0.2,1,0,1,1
8,375,8,0.2537,0,2,0,2011-01-17,0.1667,1,0.43,0.18,1,0,1,1
2,376,2,0.194,0,2,0,2011-01-17,0.1818,1,0.43,0.18,1,0,1,1
2,377,3,0.1343,0,2,1,2011-01-17,0.197,1,0.43,0.18,1,0,1,1
1,378,1,0.1642,0,2,0,2011-01-17,0.197,1,0.43,0.18,1,0,1,1
5,379,5,0.194,0,2,0,2011-01-17,0.1818,1,0.43,0.18,1,0,1,1
9,380,13,0.1343,0,2,4,2011-01-17,0.1818,1,0.5,0.16,1,0,1,1
30,381,33,0.2239,0,2,3,2011-01-17,0.1515,1,0.47,0.16,1,0,1,1
39,382,47,0.2239,0,2,8,2011-01-17,0.1515,1,0.47,0.16,1,0,1,1
50,383,57,0.2537,0,2,7,2011-01-17,0.1515,1,0.5,0.16,1,0,1,1
55,384,64,0.194,0,2,9,2011-01-17,0.1515,1,0.55,0.16,1,0,1,1
70,385,80,0.1343,0,2,10,2011-01-17,0.197,1,0.47,0.18,1,0,1,1
80,386,93,0.1343,0,2,13,2011-01-17,0.197,1,0.47,0.18,1,0,1,1
74,387,86,0.1045,0,2,12,2011-01-17,0.2121,1,0.43,0.18,1,0,1,1
72,388,93,0.1642,0,2,21,2011-01-17,0.2121,1,0.47,0.2,1,0,1,1
76,389,82,0.1642,0,2,6,2011-01-17,0.2121,1,0.47,0.2,1,0,1,1
67,390,71,0.194,0,1,4,2011-01-17,0.197,1,0.51,0.2,1,0,1,1
85,391,92,0.2537,0,2,7,2011-01-17,0.1667,1,0.55,0.18,1,0,1,1
58,392,60,0.194,0,3,2,2011-01-17,0.1818,1,0.59,0.18,1,0,1,1
29,393,33,0.194,0,3,4,2011-01-17,0.1515,1,0.8,0.16,1,0,1,1
24,394,27,0.194,0,3,3,2011-01-17,0.1515,1,0.8,0.16,1,0,1,1
13,395,13,0.2537,0,3,0,2011-01-17,0.1212,1,0.93,0.14,1,0,1,1
3,396,4,0.2836,0,3,1,2011-01-17,0.1364,1,0.86,0.16,1,0,1,1
3,397,3,0.3284,0,2,0,2011-01-18,0.1818,1,0.86,0.2,2,1,1,0
22,398,22,0.2239,0,2,0,2011-01-18,0.197,1,0.86,0.2,2,1,1,0
26,399,28,0.1642,0,2,2,2011-01-18,0.2273,1,0.8,0.22,2,1,1,0
32,400,35,0.1642,0,2,3,2011-01-18,0.2273,1,0.87,0.22,2,1,1,0
61,401,61,0.194,0,2,0,2011-01-18,0.2273,1,0.87,0.22,2,1,1,0
124,402,125,0.194,0,2,1,2011-01-18,0.2273,1,0.82,0.22,2,1,1,0
132,403,133,0.1642,0,2,1,2011-01-18,0.2273,1,0.8,0.22,2,1,1,0
98,404,99,0.1343,0,2,1,2011-01-18,0.2273,1,0.8,0.22,2,1,1,0
83,405,83,0.0,0,2,0,2011-01-18,0.2727,1,0.87,0.22,2,1,1,0
41,406,41,0.1045,0,2,0,2011-01-18,0.2424,1,0.93,0.22,2,1,1,0
33,407,33,0.0896,0,2,0,2011-01-18,0.2576,1,0.93,0.22,2,1,1,0
19,408,20,0.0,0,2,1,2011-01-18,0.2727,1,0.93,0.22,2,1,1,0
3,409,3,0.0,0,2,0,2011-01-19,0.2727,1,0.93,0.22,3,1,1,0
6,410,7,0.1343,0,3,1,2011-01-19,0.2273,1,0.93,0.22,3,1,1,0
3,411,3,0.1343,0,3,0,2011-01-19,0.2273,1,0.93,0.22,3,1,1,0
1,412,2,0.1343,0,3,1,2011-01-19,0.2273,1,0.93,0.22,3,1,1,0
7,413,7,0.0896,0,2,0,2011-01-19,0.2576,1,0.93,0.22,3,1,1,0
32,414,32,0.0896,0,2,0,2011-01-19,0.2576,1,0.93,0.22,3,1,1,0
89,415,90,0.1045,0,2,1,2011-01-19,0.2576,1,0.92,0.24,3,1,1,0
196,416,197,0.1045,0,2,1,2011-01-19,0.2576,1,0.93,0.24,3,1,1,0
107,417,109,0.1045,0,2,2,2011-01-19,0.2576,1,0.93,0.24,3,1,1,0
46,418,47,0.1343,0,2,1,2011-01-19,0.2727,1,0.93,0.26,3,1,1,0
47,419,52,0.0896,0,2,5,2011-01-19,0.303,1,0.87,0.28,3,1,1,0
65,420,70,0.0896,0,2,5,2011-01-19,0.3182,1,0.81,0.3,3,1,1,0
67,421,78,0.2836,0,1,11,2011-01-19,0.4091,1,0.62,0.4,3,1,1,0
68,422,75,0.2537,0,1,7,2011-01-19,0.4091,1,0.58,0.4,3,1,1,0
78,423,82,0.2836,0,1,4,2011-01-19,0.4091,1,0.54,0.4,3,1,1,0
94,424,104,0.3881,0,1,10,2011-01-19,0.3939,1,0.58,0.38,3,1,1,0
190,425,197,0.3284,0,1,7,2011-01-19,0.3333,1,0.57,0.36,3,1,1,0
156,426,161,0.2836,0,1,5,2011-01-19,0.3182,1,0.61,0.34,3,1,1,0
108,427,112,0.4179,0,1,4,2011-01-19,0.2879,1,0.57,0.32,3,1,1,0
74,428,76,0.2985,0,1,2,2011-01-19,0.303,1,0.49,0.32,3,1,1,0
55,429,59,0.4179,0,1,4,2011-01-19,0.2879,1,0.49,0.32,3,1,1,0
53,430,59,0.1642,0,1,6,2011-01-19,0.303,1,0.52,0.3,3,1,1,0
27,431,28,0.4627,0,1,1,2011-01-19,0.2727,1,0.52,0.3,3,1,1,0
8,432,13,0.3881,0,1,5,2011-01-20,0.2273,1,0.56,0.26,4,1,1,0
3,433,5,0.0,0,1,2,2011-01-20,0.2727,1,0.56,0.26,4,1,1,0
2,434,2,0.0,0,1,0,2011-01-20,0.2727,1,0.56,0.26,4,1,1,0
1,435,1,0.1642,0,1,0,2011-01-20,0.2576,1,0.56,0.26,4,1,1,0
1,436,1,0.1642,0,1,0,2011-01-20,0.2576,1,0.56,0.26,4,1,1,0
6,437,6,0.2239,0,1,0,2011-01-20,0.2273,1,0.6,0.24,4,1,1,0
35,438,35,0.2239,0,1,0,2011-01-20,0.2121,1,0.6,0.22,4,1,1,0
100,439,101,0.2239,0,1,1,2011-01-20,0.2121,1,0.55,0.22,4,1,1,0
247,440,249,0.2836,0,1,2,2011-01-20,0.2121,1,0.55,0.22,4,1,1,0
140,441,143,0.2239,0,2,3,2011-01-20,0.2273,1,0.52,0.24,4,1,1,0
56,442,57,0.2985,0,1,1,2011-01-20,0.2273,1,0.48,0.26,4,1,1,0
63,443,68,0.1642,0,2,5,2011-01-20,0.2727,1,0.45,0.28,4,1,1,0
77,444,84,0.0,0,2,7,2011-01-20,0.3333,1,0.42,0.3,4,1,1,0
86,445,98,0.1045,0,2,12,2011-01-20,0.2879,1,0.45,0.28,4,1,1,0
75,446,81,0.1343,0,2,6,2011-01-20,0.303,1,0.45,0.3,4,1,1,0
62,447,70,0.194,0,2,8,2011-01-20,0.3182,1,0.45,0.32,4,1,1,0
83,448,91,0.1343,0,2,8,2011-01-20,0.303,1,0.49,0.3,4,1,1,0
207,449,215,0.1045,0,2,8,2011-01-20,0.3182,1,0.49,0.3,4,1,1,0
184,450,185,0.194,0,2,1,2011-01-20,0.2576,1,0.56,0.26,4,1,1,0
146,451,152,0.3284,0,1,6,2011-01-20,0.2273,1,0.56,0.26,4,1,1,0
124,452,126,0.2836,0,2,2,2011-01-20,0.2424,1,0.6,0.26,4,1,1,0
54,453,57,0.2537,0,2,3,2011-01-20,0.2273,1,0.6,0.24,4,1,1,0
56,454,56,0.2836,0,2,0,2011-01-20,0.2121,1,0.65,0.24,4,1,1,0
28,455,31,0.3284,0,2,3,2011-01-20,0.2121,1,0.65,0.24,4,1,1,0
20,456,21,0.2537,0,2,1,2011-01-21,0.2273,1,0.7,0.24,5,1,1,0
6,457,6,0.2537,0,2,0,2011-01-21,0.2273,1,0.7,0.24,5,1,1,0
2,458,2,0.1642,0,3,0,2011-01-21,0.2424,1,0.75,0.24,5,1,1,0
1,459,1,0.2985,0,3,0,2011-01-21,0.2121,1,0.8,0.22,5,1,1,0
1,460,1,0.0896,0,2,0,2011-01-21,0.2576,1,0.87,0.22,5,1,1,0
4,461,5,0.4179,0,1,1,2011-01-21,0.197,1,0.6,0.24,5,1,1,0
27,462,27,0.2537,0,1,0,2011-01-21,0.2121,1,0.55,0.22,5,1,1,0
66,463,68,0.2836,0,1,2,2011-01-21,0.1818,1,0.51,0.2,5,1,1,0
210,464,217,0.3284,0,1,7,2011-01-21,0.1818,1,0.47,0.2,5,1,1,0
159,465,166,0.3582,0,1,7,2011-01-21,0.1818,1,0.51,0.2,5,1,1,0
57,466,63,0.4627,0,1,6,2011-01-21,0.1667,1,0.47,0.2,5,1,1,0
53,467,59,0.4627,0,1,6,2011-01-21,0.1818,1,0.41,0.22,5,1,1,0
67,468,78,0.5821,0,1,11,2011-01-21,0.1818,1,0.27,0.22,5,1,1,0
65,469,73,0.5821,0,1,8,2011-01-21,0.1515,1,0.21,0.2,5,1,1,0
56,470,62,0.5224,0,1,6,2011-01-21,0.1515,1,0.25,0.2,5,1,1,0
61,471,65,0.4478,0,1,4,2011-01-21,0.1212,1,0.26,0.16,5,1,1,0
97,472,97,0.3582,0,1,0,2011-01-21,0.1364,1,0.26,0.16,5,1,1,0
151,473,161,0.3582,0,1,10,2011-01-21,0.1212,1,0.28,0.14,5,1,1,0
119,474,120,0.2537,0,1,1,2011-01-21,0.1212,1,0.3,0.12,5,1,1,0
93,475,96,0.3284,0,1,3,2011-01-21,0.1061,1,0.3,0.12,5,1,1,0
52,476,53,0.4179,0,1,1,2011-01-21,0.0758,1,0.33,0.1,5,1,1,0
41,477,41,0.2836,0,1,0,2011-01-21,0.0758,1,0.38,0.08,5,1,1,0
33,478,34,0.3881,0,1,1,2011-01-21,0.0303,1,0.41,0.06,5,1,1,0
